agency,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
Missouri Dept of Conservation Protection Branch,other,state,Missouri,0,0
Missouri Southern State University,university,place,"Joplin city, Missouri",0,0
Missouri State Highway Patrol,state_patrol,state,Missouri,0,0
Missouri Univ SandT Police Dept,municipal_police,place,"Rolla city, Missouri",0,0
Missouri Western State University Police Dept,university,place,"St Joseph city, Missouri",0,0
Moberly Police Dept,municipal_police,place,"Moberly city, Missouri",0,0
Moline Acres Police Dept,municipal_police,place,"Moline Acres city, Missouri",0,0
Monett Police Dept,municipal_police,place,"Monett city, Missouri",0,0
Moniteau County Sheriff's Dept,county_sheriff,county,"Moniteau County, Missouri",0,0
Monroe City Police Dept,municipal_police,place,"Monroe City city, Missouri",0,0
Monroe County Sheriff's Dept,county_sheriff,county,"Monroe County, Missouri",0,0
Montgomery City Police Dept,municipal_police,place,"Montgomery City city, Missouri",0,0
Montgomery County Sheriff's Dept,county_sheriff,county,"Montgomery County, Missouri",0,0
Morehouse Police Dept,municipal_police,place,"Morehouse city, Missouri",0,0
Morgan County Sheriff's Dept,county_sheriff,county,"Morgan County, Missouri",0,0
Morley Police Dept,municipal_police,place,"Morley city, Missouri",0,0
Morrisville Police Dept,municipal_police,place,"Morrisville city, Missouri",0,0
Moscow Mills Police Dept,municipal_police,place,"Moscow Mills city, Missouri",0,0
Mound City Police Dept,municipal_police,place,"Mound City city, Missouri",0,0
Mount Vernon Police Dept,municipal_police,place,"Mount Vernon city, Missouri",0,0
Mountain Grove Police Dept,municipal_police,place,"Mountain Grove city, Missouri",0,0
Mountain View Police Dept,municipal_police,place,"Mountain View city, Missouri",0,0
NW MO State University Police Dept,university,place,"Maryville city, Missouri",0,0
Napoleon Police Dept,municipal_police,place,"Napoleon city, Missouri",0,0
Neosho Police Dept,municipal_police,place,"Neosho city, Missouri",0,0
Nevada Police Dept,municipal_police,place,"Nevada city, Missouri",0,0
New Bloomfield Police Dept,municipal_police,place,"New Bloomfield city, Missouri",0,0
New Florence Police Dept,municipal_police,place,"New Florence city, Missouri",0,0
New Haven Police Dept,municipal_police,place,"New Haven city, Missouri",0,0
New London Police Dept,municipal_police,place,"New London city, Missouri",0,0
New Madrid County Sheriff's Dept,county_sheriff,county,"New Madrid County, Missouri",0,0
New Madrid Police Dept,municipal_police,place,"New Madrid city, Missouri",0,0
Newburg Police Dept,municipal_police,place,"Newburg city, Missouri",0,0
Newton County Sheriff's Dept,county_sheriff,county,"Newton County, Missouri",0,0
Niangua Police Dept,municipal_police,place,"Niangua city, Missouri",0,0
Nixa Police Dept,municipal_police,place,"Nixa city, Missouri",0,0
Nixa Schools Police Dept,municipal_police,place,"Nixa Schools city, Missouri",0,1
Nodaway County Sheriff's Dept,county_sheriff,county,"Nodaway County, Missouri",0,0
Noel Police Dept,municipal_police,place,"Noel city, Missouri",0,0
Norfolk Southern Railway Police Dept,municipal_police,place,"Norfolk Southern Railway city, Missouri",0,1
Normandy Police Dept,municipal_police,place,"Normandy city, Missouri",0,0
North County Police Cooperative,municipal_police,place,"North County Police Cooperative city, Missouri",0,1
North Kansas City Police Dept,municipal_police,place,"North Kansas City city, Missouri",0,0
Northmoor Police Dept,municipal_police,place,"Northmoor city, Missouri",0,0
Northwest MO University Police Dept,university,place,"Maryville city, Missouri",0,0
Northwoods Police Dept,municipal_police,place,"Northwoods city, Missouri",0,0
O'Fallon Police Dept,municipal_police,place,"O'Fallon city, Missouri",0,0
Oak Grove Police Dept,municipal_police,place,"Oak Grove city, Missouri",0,0
Oakview Police Dept,municipal_police,place,"Oakview city, Missouri",0,0
Odessa Police Dept,municipal_police,place,"Odessa city, Missouri",0,0
Old Monroe Police Dept,municipal_police,place,"Old Monroe city, Missouri",0,0
Olivette Police Dept,municipal_police,place,"Olivette city, Missouri",0,0
Oran Police Dept,municipal_police,place,"Oran city, Missouri",0,0
Oregon County Sheriff's Dept,county_sheriff,county,"Oregon County, Missouri",0,0
Oregon Police Dept,municipal_police,place,"Oregon city, Missouri",0,0
Oronogo Police Dept,municipal_police,place,"Oronogo city, Missouri",0,0
Orrick Police Dept,municipal_police,place,"Orrick city, Missouri",0,0
Osage Beach Police Dept,municipal_police,place,"Osage Beach city, Missouri",0,0
Osage Co Sheriff's Dept,county_sheriff,county,"Osage County, Missouri",0,0
Osage County Sheriff's Dept,county_sheriff,county,"Osage County, Missouri",0,0
Osceola Police Dept,municipal_police,place,"Osceola city, Missouri",0,0
Otterville Police Dept,municipal_police,place,"Otterville city, Missouri",0,0
Overland Police Dept,municipal_police,place,"Overland city, Missouri",0,0
Owensville Police Dept,municipal_police,place,"Owensville city, Missouri",0,0
Ozark County Sheriff's Dept,county_sheriff,county,"Ozark County, Missouri",0,0
Ozark Police Dept,municipal_police,place,"Ozark city, Missouri",0,0
Pacific Police Dept,municipal_police,place,"Pacific city, Missouri",0,0
Pagedale Police Dept,municipal_police,place,"Pagedale city, Missouri",0,0
Palmyra Police Dept,municipal_police,place,"Palmyra city, Missouri",0,0
Park Hills Police Dept,municipal_police,place,"Park Hills city, Missouri",0,0
Parkville Police Dept,municipal_police,place,"Parkville city, Missouri",0,0
Parma Police Dept,municipal_police,place,"Parma city, Missouri",0,0
Pasadena Park Police Dept,municipal_police,place,"Pasadena Park city, Missouri",0,0
Peculiar Police Dept,municipal_police,place,"Peculiar city, Missouri",0,0
Pemiscot County Sheriff's Dept,county_sheriff,county,"Pemiscot County, Missouri",0,0
Perry County Sheriff's Dept,county_sheriff,county,"Perry County, Missouri",0,0
Perry Police Dept,municipal_police,place,"Perry city, Missouri",0,0
Perryville Police Dept,municipal_police,place,"Perryville city, Missouri",0,0
Pettis County Sheriff's Dept,county_sheriff,county,"Pettis County, Missouri",0,0
Pevely Police Dept,municipal_police,place,"Pevely city, Missouri",0,0
Phelps County Sheriff's Dept,county_sheriff,county,"Phelps County, Missouri",0,0
Piedmont Police Dept,municipal_police,place,"Piedmont city, Missouri",0,0
Pierce City Police Dept,municipal_police,place,"Pierce City city, Missouri",0,0
Pike County Sheriff's Dept,county_sheriff,county,"Pike County, Missouri",0,0
Pilot Grove Police Dept,municipal_police,place,"Pilot Grove city, Missouri",0,0
Pilot Knob Police Dept,municipal_police,place,"Pilot Knob city, Missouri",0,0
