section,agency,metric,year,race,value,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
statewide,ALL,search_rate_pct,2020,Hispanic,7.63,,,,,
statewide,ALL,arrest_rate_pct,2020,Hispanic,4.8,,,,,
statewide,ALL,search_rate_pct,2021,White,6.49,,,,,
statewide,ALL,arrest_rate_pct,2021,White,3.9,,,,,
statewide,ALL,search_rate_pct,2021,Black,8.57,,,,,
statewide,ALL,arrest_rate_pct,2021,Black,4.68,,,,,
statewide,ALL,search_rate_pct,2021,Hispanic,7.9,,,,,
statewide,ALL,arrest_rate_pct,2021,Hispanic,4.81,,,,,
statewide,ALL,search_rate_pct,2022,White,5.48,,,,,
statewide,ALL,arrest_rate_pct,2022,White,3.55,,,,,
statewide,ALL,search_rate_pct,2022,Black,7.85,,,,,
statewide,ALL,arrest_rate_pct,2022,Black,5.26,,,,,
statewide,ALL,search_rate_pct,2022,Hispanic,7.64,,,,,
statewide,ALL,arrest_rate_pct,2022,Hispanic,5.21,,,,,
statewide,ALL,search_rate_pct,2023,White,4.34,,,,,
statewide,ALL,arrest_rate_pct,2023,White,4.11,,,,,
statewide,ALL,search_rate_pct,2023,Black,5.2,,,,,
statewide,ALL,arrest_rate_pct,2023,Black,4.8,,,,,
statewide,ALL,search_rate_pct,2023,Hispanic,6.41,,,,,
statewide,ALL,arrest_rate_pct,2023,Hispanic,5.59,,,,,
statewide,ALL,search_rate_pct,2024,White,4.68,,,,,
statewide,ALL,arrest_rate_pct,2024,White,3.38,,,,,
statewide,ALL,search_rate_pct,2024,Black,5.35,,,,,
statewide,ALL,arrest_rate_pct,2024,Black,5.82,,,,,
statewide,ALL,search_rate_pct,2024,Hispanic,6.4,,,,,
statewide,ALL,arrest_rate_pct,2024,Hispanic,6.17,,,,,
by_agency,Adair County Sheriff's Dept,total_stops,2020,Total,142.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2020,White,117.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2020,Black,17.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2020,Hispanic,7.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2021,Total,545.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2021,White,449.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2021,Black,65.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2021,Hispanic,27.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2022,Total,372.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2022,White,334.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2022,Black,24.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2022,Hispanic,5.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2023,Total,317.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2023,White,281.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2023,Black,25.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2023,Hispanic,8.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2024,Total,187.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2024,White,158.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2024,Black,19.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,total_stops,2024,Hispanic,7.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,pct_change_2020_to_2024,2024,White,35.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,pct_change_2020_to_2024,2024,Black,11.8,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,pct_change_2020_to_2024,2024,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2020,White,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2020,Black,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2020,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2021,White,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2021,Black,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2021,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2022,White,2.1,county_sheriff,county,"Adair County, Missouri",0.0,0.0
