agency,county,geo_type,agency_type,hisp_stops_2020,hisp_stops_2024,total_stops_2024,stop_change_pct,hisp_arrest_rate,white_arrest_rate,arrest_ratio,hisp_search_rate,white_search_rate,search_ratio,discretionary_share,ever_commented,comment_years,has_287g,g287_type,g287_date,cluster
Poplar Bluff Police Dept,"Poplar Bluff city, Missouri",place,municipal_police,12,29,3845,141.7,3.45,3.34,1.03,3.45,9.08,0.38,54.3,False,0,False,,,Other
Seneca Police Dept,"Seneca city, Missouri",place,municipal_police,58,109,2631,87.9,7.34,5.64,1.3,10.09,8.13,1.24,51.3,False,0,False,,,Other
Town and Country Police Dept,"Town and Country city, Missouri",place,municipal_police,6,146,7474,2333.3,11.64,3.53,3.3,6.85,2.42,2.83,41.1,True,2,False,,,St. Louis County
Lake St Louis Police Dept,"Lake St Louis city, Missouri",place,municipal_police,45,153,4634,240.0,1.31,0.66,1.98,6.54,3.7,1.77,58.2,False,0,False,,,St. Charles County
Foristell Police Dept,"Foristell city, Missouri",place,municipal_police,42,51,2216,21.4,35.29,3.27,10.79,29.41,3.16,9.31,25.5,False,0,False,,,Other
Cole County Sheriff's Dept,"Cole County, Missouri",county,county_sheriff,102,109,3470,6.9,2.75,2.74,1.0,0.92,4.01,0.23,34.9,False,0,False,,,Cole County
Henry County Sheriff's Dept,"Henry County, Missouri",county,county_sheriff,17,61,2336,258.8,0.0,1.3,0.0,0.0,0.93,0.0,16.4,True,2,False,,,Henry County
Ashland Police Dept,"Ashland city, Missouri",place,municipal_police,20,23,1398,15.0,13.04,7.76,1.68,0.0,5.6,0.0,0.0,True,2,False,,,Other
Grandview Police Dept,"Grandview city, Missouri",place,municipal_police,400,303,3647,-24.2,1.98,1.47,1.35,4.95,1.76,2.81,44.6,True,1,False,,,KC Metro (Jackson/Clay)
Pierce City Police Dept,"Pierce City city, Missouri",place,municipal_police,11,29,314,163.6,0.0,2.56,0.0,10.34,4.03,2.57,34.5,False,0,False,,,Other
Pineville Police Dept,"Pineville city, Missouri",place,municipal_police,65,68,1074,4.6,8.82,3.32,2.66,5.88,3.32,1.77,15.5,False,0,False,,,Other
Cabool Police Dept,"Cabool city, Missouri",place,municipal_police,8,28,953,250.0,0.0,4.45,0.0,0.0,2.69,0.0,23.3,False,0,False,,,Other
Independence Police Dept,"Independence city, Missouri",place,municipal_police,791,1894,18683,139.4,4.44,3.54,1.25,5.28,4.85,1.09,37.9,True,3,False,,,KC Metro (Jackson/Clay)
Jackson County Sheriff's Dept,"Jackson County, Missouri",county,county_sheriff,21,117,2530,457.1,7.69,12.04,0.64,3.42,4.08,0.84,40.2,False,0,False,,,Jackson County
Ozark Police Dept,"Ozark city, Missouri",place,municipal_police,43,190,7731,341.9,5.79,5.61,1.03,7.89,9.04,0.87,65.4,True,1,False,,,SW Missouri
Pettis County Sheriff's Dept,"Pettis County, Missouri",county,county_sheriff,101,126,1921,24.8,11.11,8.95,1.24,10.32,14.07,0.73,44.5,True,1,True,jail_enforcement,2025-08,Pettis County
Palmyra Police Dept,"Palmyra city, Missouri",place,municipal_police,48,74,1865,54.2,2.7,1.31,2.06,4.05,1.8,2.25,15.4,False,0,False,,,Other
Raymore Police Dept,"Raymore city, Missouri",place,municipal_police,107,280,6261,161.7,1.79,1.69,1.06,2.86,2.41,1.19,35.6,True,1,False,,,Other
St James Police Dept,"St James city, Missouri",place,municipal_police,10,49,1696,390.0,6.12,5.37,1.14,18.37,8.84,2.08,10.2,False,0,False,,,Other
Bolivar Police Dept,"Bolivar city, Missouri",place,municipal_police,53,71,2512,34.0,7.04,5.6,1.26,7.04,5.47,1.29,46.7,False,0,False,,,Other
Warrensburg Police Dept,"Warrensburg city, Missouri",place,municipal_police,34,58,2002,70.6,13.79,6.57,2.1,17.24,8.09,2.13,59.7,False,0,False,,,Other
Kirksville Police Dept,"Kirksville city, Missouri",place,municipal_police,22,43,1896,95.5,9.3,5.62,1.65,11.63,8.31,1.4,52.3,True,2,False,,,Other
Louisiana Police Dept,"Louisiana city, Missouri",place,municipal_police,15,25,485,66.7,4.0,1.49,2.68,4.0,3.72,1.08,34.6,False,0,False,,,Other
Wentzville Police Dept,"Wentzville city, Missouri",place,municipal_police,86,159,6547,84.9,10.69,8.32,1.28,8.18,5.83,1.4,48.9,False,0,False,,,St. Charles County
Butler Police Dept,"Butler city, Missouri",place,municipal_police,9,29,1127,222.2,0.0,3.0,0.0,3.45,8.26,0.42,51.6,False,0,False,,,Other
Hannibal Police Dept,"Hannibal city, Missouri",place,municipal_police,29,77,4504,165.5,9.09,7.85,1.16,11.69,7.93,1.47,27.3,True,2,False,,,Other
Christian County Sheriff's Dept,"Christian County, Missouri",county,county_sheriff,102,129,7183,26.5,3.1,2.48,1.25,3.88,5.42,0.72,68.8,True,1,True,all_three,2025-07,Christian County
Duquesne Police Dept,"Duquesne city, Missouri",place,municipal_police,42,93,1331,121.4,6.45,1.25,5.16,7.53,1.6,4.71,24.2,False,0,False,,,SW Missouri
Moniteau County Sheriff's Dept,"Moniteau County, Missouri",county,county_sheriff,23,87,1169,278.3,8.05,3.1,2.6,17.24,6.89,2.5,43.7,False,0,False,,,Moniteau County
Republic Police Dept,"Republic city, Missouri",place,municipal_police,90,444,10198,393.3,7.43,3.71,2.0,8.78,4.8,1.83,58.6,True,2,False,,,SW Missouri
Saline County Sheriff's Dept,"Saline County, Missouri",county,county_sheriff,35,105,1099,200.0,9.52,4.78,1.99,10.48,6.99,1.5,47.7,False,0,False,,,Saline County
Sullivan Police Dept,"Sullivan city, Missouri",place,municipal_police,6,21,1645,250.0,4.76,1.51,3.15,0.0,4.78,0.0,58.3,False,0,False,,,Other
Washington Police Dept,"Washington city, Missouri",place,municipal_police,23,25,4117,8.7,4.0,3.77,1.06,4.0,2.68,1.49,50.0,False,0,False,,,Other
Hollister Police Dept,"Hollister city, Missouri",place,municipal_police,97,64,1404,-34.0,0.0,1.17,0.0,3.12,3.9,0.8,54.5,False,0,False,,,Other
Willard Police Dept,"Willard city, Missouri",place,municipal_police,17,36,1592,111.8,8.33,5.17,1.61,8.33,4.9,1.7,47.4,True,1,False,,,Other
Stoddard County Sheriff's Dept,"Stoddard County, Missouri",county,county_sheriff,8,50,2115,525.0,0.0,2.91,0.0,2.0,7.84,0.26,49.1,False,0,False,,,Stoddard County
O'Fallon Police Dept,"O'Fallon city, Missouri",place,municipal_police,603,663,20792,10.0,11.76,3.02,3.89,11.46,4.93,2.32,64.7,True,2,False,,,St. Charles County
Sunrise Beach Police Dept,"Sunrise Beach city, Missouri",place,municipal_police,8,35,1090,337.5,0.0,0.59,0.0,2.86,3.06,0.93,37.8,True,1,False,,,Other
Howell County Sheriff's Dept,"Howell County, Missouri",county,county_sheriff,5,24,1711,380.0,4.17,3.32,1.26,12.5,15.38,0.81,46.4,True,1,False,,,Howell County
Peculiar Police Dept,"Peculiar city, Missouri",place,municipal_police,30,86,2102,186.7,3.49,1.94,1.8,5.81,3.43,1.69,25.0,True,2,False,,,Other
Branson Police Dept,"Branson city, Missouri",place,municipal_police,129,371,4792,187.6,3.5,2.62,1.34,5.39,4.28,1.26,61.1,True,2,True,task_force,2026-02,SW Missouri
Webster County Sheriff's Dept,"Webster County, Missouri",county,county_sheriff,23,54,2491,134.8,0.0,0.77,0.0,0.0,1.66,0.0,49.2,False,0,False,,,Webster County
Grain Valley Police Dept,"Grain Valley city, Missouri",place,municipal_police,18,70,1597,288.9,5.71,5.2,1.1,7.14,6.61,1.08,34.3,False,0,False,,,Other
Buchanan County Sheriff's Dept,"Buchanan County, Missouri",county,county_sheriff,100,21,4893,-79.0,0.0,5.07,0.0,0.0,0.74,0.0,42.9,False,0,False,,,Buchanan County
Perryville Police Dept,"Perryville city, Missouri",place,municipal_police,12,25,1300,108.3,4.0,2.58,1.55,4.0,4.41,0.91,42.3,False,0,False,,,Other
St Louis City Police Dept,"St. Louis city, Missouri",place,municipal_police,412,645,23717,56.6,0.47,0.67,0.7,1.24,1.16,1.07,70.2,False,0,False,,,St. Louis City
Camdenton Police Dept,"Camdenton city, Missouri",place,municipal_police,18,62,1374,244.4,8.06,3.51,2.3,9.68,5.75,1.68,55.1,False,0,False,,,Other
Jackson Police Dept,"Jackson city, Missouri",place,municipal_police,53,81,4960,52.8,6.17,3.63,1.7,6.17,3.97,1.55,58.2,True,1,False,,,Other
University of Missouri-Columbia Police Dept,"Columbia city, Missouri",place,university,76,144,4938,89.5,9.72,4.02,2.42,2.78,4.29,0.65,46.9,False,0,False,,,Boone County
Diamond Police Dept,"Diamond city, Missouri",place,municipal_police,16,110,1419,587.5,0.91,0.65,1.4,0.91,0.24,3.79,23.4,False,0,False,,,SW Missouri
Warren County Sheriff's Dept,"Warren County, Missouri",county,county_sheriff,32,54,2145,68.8,25.93,6.77,3.83,31.48,16.3,1.93,63.6,False,0,False,,,Warren County
Hazelwood Police Dept,"Hazelwood city, Missouri",place,municipal_police,102,90,11265,-11.8,0.0,3.36,0.0,1.11,2.88,0.39,71.3,True,2,False,,,St. Louis County
Ste Genevieve Co Sheriff's Dept,"Ste Genevieve County, Missouri",county,county_sheriff,8,44,3239,450.0,2.27,6.09,0.37,11.36,5.0,2.27,35.8,False,0,False,,,Ste Genevieve Co
Boone County Sheriff's Dept,"Boone County, Missouri",county,county_sheriff,132,410,11974,210.6,7.8,3.75,2.08,9.27,5.87,1.58,50.4,True,3,False,,,Boone County
Sunset Hills Police Dept,"Sunset Hills city, Missouri",place,municipal_police,12,97,3410,708.3,2.06,4.79,0.43,4.12,10.22,0.4,64.7,False,0,False,,,St. Louis County
Jefferson County Sheriff's Dept,"Jefferson County, Missouri",county,county_sheriff,16,107,22123,568.8,14.02,5.17,2.71,9.35,3.24,2.89,54.8,False,0,True,task_force,2026-01,Jefferson County
Sullivan County Sheriff's Dept,"Sullivan County, Missouri",county,county_sheriff,34,45,355,32.4,8.89,4.26,2.09,11.11,9.57,1.16,45.8,False,0,False,,,Sullivan County
Wright City Police Dept,"Wright City city, Missouri",place,municipal_police,65,116,2288,78.5,10.34,2.3,4.5,6.9,5.18,1.33,39.7,False,0,False,,,Other
Benton County Sheriff's Dept,"Benton County, Missouri",county,county_sheriff,8,27,948,237.5,18.52,11.77,1.57,37.04,19.51,1.9,55.2,False,0,False,,,Benton County
Perry County Sheriff's Dept,"Perry County, Missouri",county,county_sheriff,31,78,2266,151.6,16.67,2.83,5.89,16.67,4.74,3.52,34.5,False,0,False,,,Perry County
Taney County Sheriff's Dept,"Taney County, Missouri",county,county_sheriff,41,129,3051,214.6,8.53,1.89,4.51,11.63,7.33,1.59,58.9,False,0,False,,,Taney County
