Agency,Region,Year,Stops,Indexed
Versailles Police Dept,Central,2019,623,120.5
Versailles Police Dept,Central,2020,438,84.7
Versailles Police Dept,Central,2021,409,79.1
Versailles Police Dept,Central,2022,533,103.1
Versailles Police Dept,Central,2023,369,71.4
Waynesville Police Dept,Central,2014,1590,100.0
Waynesville Police Dept,Central,2015,2105,132.4
Waynesville Police Dept,Central,2016,1586,99.7
Waynesville Police Dept,Central,2017,1410,88.7
Waynesville Police Dept,Central,2018,2034,127.9
Waynesville Police Dept,Central,2019,2087,131.3
Waynesville Police Dept,Central,2020,2197,138.2
Waynesville Police Dept,Central,2021,2796,175.8
Waynesville Police Dept,Central,2022,2646,166.4
Waynesville Police Dept,Central,2023,2134,134.2
Waynesville Police Dept,Central,2024,2475,155.7
Bates County Sheriff's Dept,KC Metro,2014,716,100.0
Bates County Sheriff's Dept,KC Metro,2015,685,95.7
Bates County Sheriff's Dept,KC Metro,2016,475,66.3
Bates County Sheriff's Dept,KC Metro,2017,468,65.4
Bates County Sheriff's Dept,KC Metro,2018,830,115.9
Bates County Sheriff's Dept,KC Metro,2020,523,73.0
Bates County Sheriff's Dept,KC Metro,2021,517,72.2
Bates County Sheriff's Dept,KC Metro,2022,590,82.4
Bates County Sheriff's Dept,KC Metro,2023,894,124.9
Bates County Sheriff's Dept,KC Metro,2024,748,104.5
Belton Police Dept,KC Metro,2014,6857,100.0
Belton Police Dept,KC Metro,2015,5098,74.3
Belton Police Dept,KC Metro,2016,7252,105.8
Belton Police Dept,KC Metro,2017,6925,101.0
Belton Police Dept,KC Metro,2018,6008,87.6
Belton Police Dept,KC Metro,2019,5570,81.2
Belton Police Dept,KC Metro,2020,4425,64.5
Belton Police Dept,KC Metro,2021,5743,83.8
Belton Police Dept,KC Metro,2022,5722,83.4
Belton Police Dept,KC Metro,2023,4885,71.2
Belton Police Dept,KC Metro,2024,2524,36.8
Blue Springs Police Dept,KC Metro,2014,6405,100.0
Blue Springs Police Dept,KC Metro,2015,5979,93.3
Blue Springs Police Dept,KC Metro,2016,5382,84.0
Blue Springs Police Dept,KC Metro,2017,5949,92.9
Blue Springs Police Dept,KC Metro,2018,7434,116.1
Blue Springs Police Dept,KC Metro,2019,5199,81.2
Blue Springs Police Dept,KC Metro,2020,3719,58.1
Blue Springs Police Dept,KC Metro,2021,3357,52.4
Blue Springs Police Dept,KC Metro,2022,3888,60.7
Blue Springs Police Dept,KC Metro,2023,6138,95.8
Blue Springs Police Dept,KC Metro,2024,7724,120.6
Buckner Police Dept,KC Metro,2014,1597,100.0
Buckner Police Dept,KC Metro,2015,1793,112.3
Buckner Police Dept,KC Metro,2016,1429,89.5
Buckner Police Dept,KC Metro,2017,1638,102.6
Buckner Police Dept,KC Metro,2018,1022,64.0
Buckner Police Dept,KC Metro,2019,723,45.3
Buckner Police Dept,KC Metro,2020,865,54.2
Buckner Police Dept,KC Metro,2021,1029,64.4
Buckner Police Dept,KC Metro,2022,680,42.6
Buckner Police Dept,KC Metro,2023,388,24.3
Butler Police Dept,KC Metro,2014,1824,100.0
Butler Police Dept,KC Metro,2015,1215,66.6
Butler Police Dept,KC Metro,2016,1392,76.3
Butler Police Dept,KC Metro,2017,787,43.1
Butler Police Dept,KC Metro,2018,564,30.9
Butler Police Dept,KC Metro,2020,382,20.9
Butler Police Dept,KC Metro,2021,532,29.2
Butler Police Dept,KC Metro,2022,352,19.3
Butler Police Dept,KC Metro,2023,546,29.9
Butler Police Dept,KC Metro,2024,1066,58.4
Cameron Police Dept,KC Metro,2014,2744,100.0
Cameron Police Dept,KC Metro,2015,2605,94.9
Cameron Police Dept,KC Metro,2016,3100,113.0
Cameron Police Dept,KC Metro,2017,3011,109.7
Cameron Police Dept,KC Metro,2018,2700,98.4
Cameron Police Dept,KC Metro,2019,2848,103.8
Cameron Police Dept,KC Metro,2020,1530,55.8
Cameron Police Dept,KC Metro,2021,2664,97.1
Cameron Police Dept,KC Metro,2022,3060,111.5
Cameron Police Dept,KC Metro,2023,3344,121.9
Cameron Police Dept,KC Metro,2024,3086,112.5
Clay County Sheriff's Dept,KC Metro,2014,4526,100.0
Clay County Sheriff's Dept,KC Metro,2015,5090,112.5
Clay County Sheriff's Dept,KC Metro,2016,3584,79.2
Clay County Sheriff's Dept,KC Metro,2017,3936,87.0
Clay County Sheriff's Dept,KC Metro,2018,4508,99.6
Clay County Sheriff's Dept,KC Metro,2019,4586,101.3
Clay County Sheriff's Dept,KC Metro,2020,4226,93.4
Clay County Sheriff's Dept,KC Metro,2021,5198,114.8
Clay County Sheriff's Dept,KC Metro,2022,6065,134.0
Clay County Sheriff's Dept,KC Metro,2023,6432,142.1
Clay County Sheriff's Dept,KC Metro,2024,6791,150.0
Claycomo Police Dept,KC Metro,2014,1171,100.0
Claycomo Police Dept,KC Metro,2015,896,76.5
Claycomo Police Dept,KC Metro,2016,1427,121.9
Claycomo Police Dept,KC Metro,2017,3393,289.8
Claycomo Police Dept,KC Metro,2018,2732,233.3
Claycomo Police Dept,KC Metro,2019,2061,176.0
Claycomo Police Dept,KC Metro,2020,1821,155.5
Claycomo Police Dept,KC Metro,2021,1225,104.6
Claycomo Police Dept,KC Metro,2022,933,79.7
Claycomo Police Dept,KC Metro,2024,1552,132.5
Clinton County Sheriff's Dept,KC Metro,2014,1335,100.0
Clinton County Sheriff's Dept,KC Metro,2015,859,64.3
Clinton County Sheriff's Dept,KC Metro,2016,737,55.2
Clinton County Sheriff's Dept,KC Metro,2017,1741,130.4
Clinton County Sheriff's Dept,KC Metro,2018,1714,128.4
Clinton County Sheriff's Dept,KC Metro,2019,1838,137.7
Clinton County Sheriff's Dept,KC Metro,2020,1016,76.1
Clinton County Sheriff's Dept,KC Metro,2021,1208,90.5
Clinton County Sheriff's Dept,KC Metro,2022,1512,113.3
Clinton County Sheriff's Dept,KC Metro,2023,2245,168.2
Concordia Police Dept,KC Metro,2014,539,100.0
Concordia Police Dept,KC Metro,2015,289,53.6
Concordia Police Dept,KC Metro,2016,378,70.1
Concordia Police Dept,KC Metro,2017,387,71.8
Concordia Police Dept,KC Metro,2018,491,91.1
Concordia Police Dept,KC Metro,2019,324,60.1
Concordia Police Dept,KC Metro,2020,311,57.7
Concordia Police Dept,KC Metro,2021,275,51.0
Concordia Police Dept,KC Metro,2022,239,44.3
Concordia Police Dept,KC Metro,2023,530,98.3
Concordia Police Dept,KC Metro,2024,551,102.2
Excelsior Springs Police Dept,KC Metro,2014,3684,100.0
Excelsior Springs Police Dept,KC Metro,2015,3331,90.4
Excelsior Springs Police Dept,KC Metro,2016,3218,87.4
Excelsior Springs Police Dept,KC Metro,2017,3338,90.6
Excelsior Springs Police Dept,KC Metro,2018,3358,91.2
Excelsior Springs Police Dept,KC Metro,2019,4572,124.1
Excelsior Springs Police Dept,KC Metro,2020,2537,68.9
Excelsior Springs Police Dept,KC Metro,2021,2018,54.8
Excelsior Springs Police Dept,KC Metro,2022,1186,32.2
Excelsior Springs Police Dept,KC Metro,2023,1630,44.2
Gladstone Dept of Public Safety,KC Metro,2014,7764,100.0
Gladstone Dept of Public Safety,KC Metro,2015,7272,93.7
Gladstone Dept of Public Safety,KC Metro,2016,5603,72.2
Gladstone Dept of Public Safety,KC Metro,2017,5784,74.5
Gladstone Dept of Public Safety,KC Metro,2018,4919,63.4
Gladstone Dept of Public Safety,KC Metro,2019,4783,61.6
Gladstone Dept of Public Safety,KC Metro,2020,3533,45.5
Gladstone Dept of Public Safety,KC Metro,2021,3277,42.2
Gladstone Dept of Public Safety,KC Metro,2022,1398,18.0
Gladstone Dept of Public Safety,KC Metro,2023,2998,38.6
Gladstone Dept of Public Safety,KC Metro,2024,2336,30.1
Grain Valley Police Dept,KC Metro,2014,1593,100.0
