Agency,Region,Year,Stops,Indexed
Belton Police Dept,KC Metro,2018,1143,111.8
Belton Police Dept,KC Metro,2019,1044,102.2
Belton Police Dept,KC Metro,2020,935,91.5
Belton Police Dept,KC Metro,2021,1213,118.7
Belton Police Dept,KC Metro,2022,1576,154.2
Belton Police Dept,KC Metro,2023,1509,147.7
Belton Police Dept,KC Metro,2024,980,95.9
Blue Springs Police Dept,KC Metro,2014,807,100.0
Blue Springs Police Dept,KC Metro,2015,824,102.1
Blue Springs Police Dept,KC Metro,2016,877,108.7
Blue Springs Police Dept,KC Metro,2017,1099,136.2
Blue Springs Police Dept,KC Metro,2018,1270,157.4
Blue Springs Police Dept,KC Metro,2019,995,123.3
Blue Springs Police Dept,KC Metro,2020,574,71.1
Blue Springs Police Dept,KC Metro,2021,518,64.2
Blue Springs Police Dept,KC Metro,2022,817,101.2
Blue Springs Police Dept,KC Metro,2023,1381,171.1
Blue Springs Police Dept,KC Metro,2024,1899,235.3
Buckner Police Dept,KC Metro,2014,54,100.0
Buckner Police Dept,KC Metro,2015,77,142.6
Buckner Police Dept,KC Metro,2016,59,109.3
Buckner Police Dept,KC Metro,2017,53,98.1
Buckner Police Dept,KC Metro,2018,32,59.3
Buckner Police Dept,KC Metro,2019,32,59.3
Buckner Police Dept,KC Metro,2020,39,72.2
Buckner Police Dept,KC Metro,2021,46,85.2
Buckner Police Dept,KC Metro,2022,20,37.0
Buckner Police Dept,KC Metro,2023,19,35.2
Butler Police Dept,KC Metro,2014,36,100.0
Butler Police Dept,KC Metro,2015,36,100.0
Butler Police Dept,KC Metro,2016,45,125.0
Butler Police Dept,KC Metro,2017,33,91.7
Butler Police Dept,KC Metro,2018,17,47.2
Butler Police Dept,KC Metro,2020,6,16.7
Butler Police Dept,KC Metro,2021,0,0.0
Butler Police Dept,KC Metro,2022,4,11.1
Butler Police Dept,KC Metro,2023,13,36.1
Butler Police Dept,KC Metro,2024,25,69.4
Cameron Police Dept,KC Metro,2014,102,100.0
Cameron Police Dept,KC Metro,2015,73,71.6
Cameron Police Dept,KC Metro,2016,94,92.2
Cameron Police Dept,KC Metro,2017,99,97.1
Cameron Police Dept,KC Metro,2018,91,89.2
Cameron Police Dept,KC Metro,2019,104,102.0
Cameron Police Dept,KC Metro,2020,54,52.9
Cameron Police Dept,KC Metro,2021,94,92.2
Cameron Police Dept,KC Metro,2022,92,90.2
Cameron Police Dept,KC Metro,2023,126,123.5
Cameron Police Dept,KC Metro,2024,104,102.0
Clay County Sheriff's Dept,KC Metro,2014,458,100.0
Clay County Sheriff's Dept,KC Metro,2015,614,134.1
Clay County Sheriff's Dept,KC Metro,2016,463,101.1
Clay County Sheriff's Dept,KC Metro,2017,556,121.4
Clay County Sheriff's Dept,KC Metro,2018,768,167.7
Clay County Sheriff's Dept,KC Metro,2019,832,181.7
Clay County Sheriff's Dept,KC Metro,2020,697,152.2
Clay County Sheriff's Dept,KC Metro,2021,857,187.1
Clay County Sheriff's Dept,KC Metro,2022,1269,277.1
Clay County Sheriff's Dept,KC Metro,2023,1800,393.0
Clay County Sheriff's Dept,KC Metro,2024,1798,392.6
Claycomo Police Dept,KC Metro,2014,226,100.0
Claycomo Police Dept,KC Metro,2015,190,84.1
Claycomo Police Dept,KC Metro,2016,333,147.3
Claycomo Police Dept,KC Metro,2017,814,360.2
Claycomo Police Dept,KC Metro,2018,753,333.2
Claycomo Police Dept,KC Metro,2019,600,265.5
Claycomo Police Dept,KC Metro,2020,572,253.1
Claycomo Police Dept,KC Metro,2021,385,170.4
Claycomo Police Dept,KC Metro,2022,365,161.5
Claycomo Police Dept,KC Metro,2024,655,289.8
Clinton County Sheriff's Dept,KC Metro,2014,50,100.0
Clinton County Sheriff's Dept,KC Metro,2015,30,60.0
Clinton County Sheriff's Dept,KC Metro,2016,36,72.0
Clinton County Sheriff's Dept,KC Metro,2017,74,148.0
Clinton County Sheriff's Dept,KC Metro,2018,78,156.0
Clinton County Sheriff's Dept,KC Metro,2019,90,180.0
Clinton County Sheriff's Dept,KC Metro,2020,57,114.0
Clinton County Sheriff's Dept,KC Metro,2021,68,136.0
Clinton County Sheriff's Dept,KC Metro,2022,90,180.0
Clinton County Sheriff's Dept,KC Metro,2023,94,188.0
Concordia Police Dept,KC Metro,2014,14,100.0
Concordia Police Dept,KC Metro,2015,7,50.0
Concordia Police Dept,KC Metro,2016,10,71.4
Concordia Police Dept,KC Metro,2017,17,121.4
Concordia Police Dept,KC Metro,2018,23,164.3
Concordia Police Dept,KC Metro,2019,12,85.7
Concordia Police Dept,KC Metro,2020,8,57.1
Concordia Police Dept,KC Metro,2021,7,50.0
Concordia Police Dept,KC Metro,2022,16,114.3
Concordia Police Dept,KC Metro,2023,18,128.6
Concordia Police Dept,KC Metro,2024,25,178.6
Excelsior Springs Police Dept,KC Metro,2014,122,100.0
Excelsior Springs Police Dept,KC Metro,2015,139,113.9
Excelsior Springs Police Dept,KC Metro,2016,130,106.6
Excelsior Springs Police Dept,KC Metro,2017,129,105.7
Excelsior Springs Police Dept,KC Metro,2018,157,128.7
Excelsior Springs Police Dept,KC Metro,2019,262,214.8
Excelsior Springs Police Dept,KC Metro,2020,164,134.4
Excelsior Springs Police Dept,KC Metro,2021,130,106.6
Excelsior Springs Police Dept,KC Metro,2022,62,50.8
Excelsior Springs Police Dept,KC Metro,2023,109,89.3
Gladstone Dept of Public Safety,KC Metro,2014,1306,100.0
Gladstone Dept of Public Safety,KC Metro,2015,1293,99.0
Gladstone Dept of Public Safety,KC Metro,2016,1235,94.6
Gladstone Dept of Public Safety,KC Metro,2017,1606,123.0
Gladstone Dept of Public Safety,KC Metro,2018,1465,112.2
Gladstone Dept of Public Safety,KC Metro,2019,1152,88.2
Gladstone Dept of Public Safety,KC Metro,2020,972,74.4
Gladstone Dept of Public Safety,KC Metro,2021,1044,79.9
Gladstone Dept of Public Safety,KC Metro,2022,474,36.3
Gladstone Dept of Public Safety,KC Metro,2023,1071,82.0
Gladstone Dept of Public Safety,KC Metro,2024,928,71.1
Grain Valley Police Dept,KC Metro,2014,67,100.0
Grain Valley Police Dept,KC Metro,2015,43,64.2
Grain Valley Police Dept,KC Metro,2016,40,59.7
Grain Valley Police Dept,KC Metro,2017,50,74.6
Grain Valley Police Dept,KC Metro,2018,83,123.9
Grain Valley Police Dept,KC Metro,2019,80,119.4
Grain Valley Police Dept,KC Metro,2020,64,95.5
Grain Valley Police Dept,KC Metro,2022,76,113.4
Grain Valley Police Dept,KC Metro,2023,112,167.2
Grain Valley Police Dept,KC Metro,2024,148,220.9
Grandview Police Dept,KC Metro,2014,4460,100.0
Grandview Police Dept,KC Metro,2015,4773,107.0
Grandview Police Dept,KC Metro,2016,2416,54.2
Grandview Police Dept,KC Metro,2017,3162,70.9
Grandview Police Dept,KC Metro,2018,3479,78.0
Grandview Police Dept,KC Metro,2019,5004,112.2
Grandview Police Dept,KC Metro,2020,2827,63.4
Grandview Police Dept,KC Metro,2021,2639,59.2
Grandview Police Dept,KC Metro,2022,1835,41.1
Grandview Police Dept,KC Metro,2023,2255,50.6
Grandview Police Dept,KC Metro,2024,1520,34.1
Greenwood Police Dept,KC Metro,2014,116,100.0
Greenwood Police Dept,KC Metro,2015,131,112.9
Greenwood Police Dept,KC Metro,2016,133,114.7
Greenwood Police Dept,KC Metro,2017,158,136.2
Greenwood Police Dept,KC Metro,2018,123,106.0
Greenwood Police Dept,KC Metro,2019,91,78.4
Greenwood Police Dept,KC Metro,2020,197,169.8
Greenwood Police Dept,KC Metro,2021,148,127.6
Greenwood Police Dept,KC Metro,2023,69,59.5
Greenwood Police Dept,KC Metro,2024,182,156.9
Harrisonville Police Dept,KC Metro,2014,76,100.0
Harrisonville Police Dept,KC Metro,2015,80,105.3
Harrisonville Police Dept,KC Metro,2016,84,110.5
Harrisonville Police Dept,KC Metro,2017,97,127.6
Harrisonville Police Dept,KC Metro,2018,140,184.2
Harrisonville Police Dept,KC Metro,2019,84,110.5
Harrisonville Police Dept,KC Metro,2020,103,135.5
Harrisonville Police Dept,KC Metro,2021,77,101.3
Harrisonville Police Dept,KC Metro,2022,50,65.8
Harrisonville Police Dept,KC Metro,2023,57,75.0
Higginsville Police Dept,KC Metro,2014,145,100.0
Higginsville Police Dept,KC Metro,2015,86,59.3
Higginsville Police Dept,KC Metro,2016,78,53.8
Higginsville Police Dept,KC Metro,2017,100,69.0
Higginsville Police Dept,KC Metro,2018,160,110.3
Higginsville Police Dept,KC Metro,2019,201,138.6
Higginsville Police Dept,KC Metro,2020,172,118.6
Higginsville Police Dept,KC Metro,2021,231,159.3
Higginsville Police Dept,KC Metro,2022,163,112.4
Higginsville Police Dept,KC Metro,2023,184,126.9
Higginsville Police Dept,KC Metro,2024,157,108.3
Independence Police Dept,KC Metro,2014,4391,100.0
Independence Police Dept,KC Metro,2015,4509,102.7
Independence Police Dept,KC Metro,2016,4381,99.8
Independence Police Dept,KC Metro,2017,4059,92.4
Independence Police Dept,KC Metro,2018,4606,104.9
Independence Police Dept,KC Metro,2019,4665,106.2
Independence Police Dept,KC Metro,2020,2262,51.5
Independence Police Dept,KC Metro,2021,2355,53.6
Independence Police Dept,KC Metro,2022,2904,66.1
Independence Police Dept,KC Metro,2023,3977,90.6
Independence Police Dept,KC Metro,2024,4146,94.4
Jackson County Sheriff's Dept,KC Metro,2014,2151,100.0
Jackson County Sheriff's Dept,KC Metro,2015,2521,117.2
Jackson County Sheriff's Dept,KC Metro,2016,2345,109.0
Jackson County Sheriff's Dept,KC Metro,2017,1870,86.9
Jackson County Sheriff's Dept,KC Metro,2018,1741,80.9
Jackson County Sheriff's Dept,KC Metro,2019,1703,79.2
Jackson County Sheriff's Dept,KC Metro,2020,825,38.4
Jackson County Sheriff's Dept,KC Metro,2021,781,36.3
Jackson County Sheriff's Dept,KC Metro,2022,1114,51.8
Jackson County Sheriff's Dept,KC Metro,2023,984,45.7
Jackson County Sheriff's Dept,KC Metro,2024,705,32.8
Johnson County Sheriff's Dept,KC Metro,2014,91,100.0
Johnson County Sheriff's Dept,KC Metro,2015,101,111.0
Johnson County Sheriff's Dept,KC Metro,2016,104,114.3
Johnson County Sheriff's Dept,KC Metro,2017,117,128.6
Johnson County Sheriff's Dept,KC Metro,2018,156,171.4
Johnson County Sheriff's Dept,KC Metro,2020,84,92.3
Johnson County Sheriff's Dept,KC Metro,2021,197,216.5
Johnson County Sheriff's Dept,KC Metro,2022,143,157.1
Johnson County Sheriff's Dept,KC Metro,2023,213,234.1
Johnson County Sheriff's Dept,KC Metro,2024,298,327.5
Kansas City Police Dept,KC Metro,2014,56750,100.0
Kansas City Police Dept,KC Metro,2015,46392,81.7
Kansas City Police Dept,KC Metro,2016,38108,67.2
Kansas City Police Dept,KC Metro,2017,33304,58.7
Kansas City Police Dept,KC Metro,2018,29995,52.9
Kansas City Police Dept,KC Metro,2019,26056,45.9
Kansas City Police Dept,KC Metro,2020,20180,35.6
Kansas City Police Dept,KC Metro,2021,13766,24.3
Kansas City Police Dept,KC Metro,2022,8350,14.7
Kansas City Police Dept,KC Metro,2023,9176,16.2
Kansas City Police Dept,KC Metro,2024,12452,21.9
Kearney Police Dept,KC Metro,2014,47,100.0
Kearney Police Dept,KC Metro,2015,38,80.9
Kearney Police Dept,KC Metro,2016,46,97.9
Kearney Police Dept,KC Metro,2017,28,59.6
Kearney Police Dept,KC Metro,2018,42,89.4
Kearney Police Dept,KC Metro,2019,53,112.8
Kearney Police Dept,KC Metro,2020,50,106.4
Kearney Police Dept,KC Metro,2021,39,83.0
Kearney Police Dept,KC Metro,2022,33,70.2
Kearney Police Dept,KC Metro,2023,94,200.0
Kearney Police Dept,KC Metro,2024,141,300.0
Knob Noster Police Dept,KC Metro,2014,64,100.0
Knob Noster Police Dept,KC Metro,2015,72,112.5
Knob Noster Police Dept,KC Metro,2016,63,98.4
Knob Noster Police Dept,KC Metro,2017,117,182.8
Knob Noster Police Dept,KC Metro,2018,95,148.4
Knob Noster Police Dept,KC Metro,2019,77,120.3
Knob Noster Police Dept,KC Metro,2020,4,6.2
Knob Noster Police Dept,KC Metro,2021,81,126.6
Knob Noster Police Dept,KC Metro,2022,73,114.1
Knob Noster Police Dept,KC Metro,2024,100,156.2
Lafayette County Sheriff's Dept,KC Metro,2014,77,100.0
