agency,agency_type,census_geo_type,census_match_name,pop_total,pop_white,pop_black,pop_hispanic
Lake Ozark Police Dept,municipal_police,place,"Lake Ozark city, Missouri",2335,2143,90,45
Lake St Louis Police Dept,municipal_police,place,"Lake St. Louis city, Missouri",18066,15303,985,453
Lake Tapawingo Police Dept,municipal_police,place,"Lake Tapawingo city, Missouri",706,667,4,4
Lake Winnebago Police Dept,municipal_police,place,"Lake Winnebago city, Missouri",1773,1688,0,47
Lakeshire Police Dept,municipal_police,place,"Lakeshire city, Missouri",1396,1182,7,103
Lamar Police Dept,municipal_police,place,"Lamar city, Missouri",4284,3947,27,49
Lancaster Police Dept,municipal_police,place,"Lancaster city, Missouri",742,660,0,29
Lathrop Police Dept,municipal_police,place,"Lathrop city, Missouri",2560,2151,0,211
Laurie Police Dept,municipal_police,place,"Laurie city, Missouri",965,867,1,32
Lawrence County Sheriff's Dept,county_sheriff,county,"Lawrence County, Missouri",38593,33261,107,3263
Lawson Police Dept,municipal_police,place,"Lawson city, Missouri",2905,2766,0,44
Leadington Police Dept,municipal_police,place,"Leadington city, Missouri",901,796,2,11
Leadwood Police Dept,municipal_police,place,"Leadwood city, Missouri",1354,1312,0,0
Lebanon Police Dept,municipal_police,place,"Lebanon city, Missouri",15270,13902,81,625
Lee's Summit Police Dept,municipal_police,place,"Lee's Summit city, Missouri",103656,79967,9971,6369
Leeton Police Dept,municipal_police,place,"Leeton city, Missouri",660,630,0,20
Lewis County Sheriff's Dept,county_sheriff,county,"Lewis County, Missouri",9924,9084,383,111
Lexington Police Dept,municipal_police,place,"Lexington city, Missouri",4606,4045,60,490
Liberal Police Dept,municipal_police,place,"Liberal city, Missouri",747,663,0,20
Liberty Police Dept,municipal_police,place,"Liberty city, Missouri",30689,25685,1398,1539
Licking Police Dept,municipal_police,place,"Licking city, Missouri",2858,2221,446,78
Lincoln County Sheriff's Dept,county_sheriff,county,"Lincoln County, Missouri",63057,57929,1070,1809
Lincoln Police Dept,municipal_police,place,"Lincoln city, Missouri",1787,1566,105,35
Lincoln University Police Dept,university,place,"Jefferson City city, Missouri",42488,30343,6778,1683
Linn County Sheriff's Dept,county_sheriff,county,"Linn County, Missouri",11852,11100,97,352
Linn Creek Police Dept,municipal_police,place,"Linn Creek city, Missouri",188,147,0,0
Linn Police Dept,municipal_police,place,"Linn city, Missouri",1197,1098,26,9
Livingston County Sheriff's Dept,county_sheriff,county,"Livingston County, Missouri",14364,13036,434,295
Lone Jack Police Dept,municipal_police,place,"Lone Jack city, Missouri",1412,1171,4,54
