Agency,Region,Year,Stops,Indexed
St Louis City Police Dept,STL Metro,2024,645,122.4
St Louis County Police Dept,STL Metro,2014,859,100.0
St Louis County Police Dept,STL Metro,2015,748,87.1
St Louis County Police Dept,STL Metro,2016,693,80.7
St Louis County Police Dept,STL Metro,2017,495,57.6
St Louis County Police Dept,STL Metro,2018,498,58.0
St Louis County Police Dept,STL Metro,2019,435,50.6
St Louis County Police Dept,STL Metro,2020,146,17.0
St Louis County Police Dept,STL Metro,2021,159,18.5
St Louis County Police Dept,STL Metro,2022,231,26.9
St Louis County Police Dept,STL Metro,2023,230,26.8
St Louis County Police Dept,STL Metro,2024,338,39.3
St Peters Police Dept,STL Metro,2014,119,100.0
St Peters Police Dept,STL Metro,2015,111,93.3
St Peters Police Dept,STL Metro,2016,97,81.5
St Peters Police Dept,STL Metro,2017,62,52.1
St Peters Police Dept,STL Metro,2018,94,79.0
St Peters Police Dept,STL Metro,2019,92,77.3
St Peters Police Dept,STL Metro,2020,46,38.7
St Peters Police Dept,STL Metro,2021,182,152.9
St Peters Police Dept,STL Metro,2022,115,96.6
St Peters Police Dept,STL Metro,2023,137,115.1
St Peters Police Dept,STL Metro,2024,266,223.5
Sullivan Police Dept,STL Metro,2014,12,100.0
Sullivan Police Dept,STL Metro,2015,9,75.0
Sullivan Police Dept,STL Metro,2016,24,200.0
Sullivan Police Dept,STL Metro,2017,8,66.7
Sullivan Police Dept,STL Metro,2018,10,83.3
Sullivan Police Dept,STL Metro,2019,7,58.3
Sullivan Police Dept,STL Metro,2020,6,50.0
Sullivan Police Dept,STL Metro,2021,9,75.0
Sullivan Police Dept,STL Metro,2022,20,166.7
Sullivan Police Dept,STL Metro,2023,23,191.7
Sullivan Police Dept,STL Metro,2024,21,175.0
Sunset Hills Police Dept,STL Metro,2014,16,100.0
Sunset Hills Police Dept,STL Metro,2015,31,193.8
Sunset Hills Police Dept,STL Metro,2016,29,181.2
Sunset Hills Police Dept,STL Metro,2017,31,193.8
Sunset Hills Police Dept,STL Metro,2018,21,131.2
Sunset Hills Police Dept,STL Metro,2019,31,193.8
Sunset Hills Police Dept,STL Metro,2020,12,75.0
Sunset Hills Police Dept,STL Metro,2021,15,93.8
Sunset Hills Police Dept,STL Metro,2022,37,231.2
Sunset Hills Police Dept,STL Metro,2023,65,406.2
Sunset Hills Police Dept,STL Metro,2024,97,606.2
Town and Country Police Dept,STL Metro,2014,58,100.0
