slug,department,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
search--contraband-found--weapon,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates--stop-rate-residents--contraband-hit-rate,Missouri Capitol Police,0,0,0,,,,,2021,0
rates--rates--search-rate,Pemiscot County Sheriff's Dept,22.22,25,20,0,,,,2021,0
search--probable-cause--plain-view-contra,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates--stop-rate-residents--search-rate,St Charles City Parks and Recreation Dept,5.13,3.57,0,25,,0,0,2021,0
rates--totals--searches,Bates City Police Dept,12,6,2,2,1,1,0,2021,0
search--arrest-charge--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates--rates--contraband-hit-rate,Anderson Police Dept,47.17,47.09,,40,0,50,100,2021,0
disparity-index-by-race--disparity-index--resident-stops,Versailles Police Dept,,1.061,3.014,0.071,,,0.125,2021,0
rates--stop-rate-residents--citation-rate,Missouri Capitol Police,9.94,9.09,18.52,0,,,0,2021,0
stops--reason-for-stop--investigative,Bates City Police Dept,2,1,0,0,0,0,1,2021,0
rates--rates--stop-rate,Pemiscot County Sheriff's Dept,0.14,0.13,0.16,0.36,0,0,0,2021,0
stops--location-of-stop--us-hwy,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates--population--2020-population,Bates City Police Dept,132,130,0,0,0,2,0,2021,0
search--what-searched--driver,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--what-searched--car-property,Bates City Police Dept,9,5,1,2,0,1,0,2021,0
rates--rates--citation-rate,Anderson Police Dept,29.56,27.9,33.33,44.34,57.14,34.33,84.62,2021,0
rates--totals--citations,Bates City Police Dept,86,75,4,5,1,1,0,2021,0
search--contraband-found--stolen-property,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
stops--stop-outcome--searches,Bates City Police Dept,12,6,2,2,1,1,0,2021,0
stops--location-of-stop--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--probable-cause--drug-dog-alert,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
disparity-index-by-race--population--2020-population-pct,Bates City Police Dept,100,98.48,0,0,0,1.52,0,2021,0
search--arrest-charge--traffic-violation,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates--rates--arrest-rate,Anderson Police Dept,1.7,1.73,0,0,0,2.99,7.69,2021,0
stops--driver-age--30-39,Bates City Police Dept,57,51,2,4,0,0,0,2021,0
search--contraband-found--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
stops--location-of-stop--interstate-hwy,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
stops--driver-age--18-29,Bates City Police Dept,90,81,2,4,1,1,1,2021,0
search--arrest-charge--drug-violation,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--what-searched--driver-property,Bates City Police Dept,2,1,1,0,0,0,0,2021,0
search--probable-cause--inventory,Bates City Police Dept,1,1,0,0,0,0,0,2021,0
rates--totals--resident-stops,Bates City Police Dept,194,194,0,0,0,0,0,2021,0
disparity-index-by-race--stops--resident-stops,Bates City Police Dept,194,194,0,0,0,0,0,2021,0
stops--reason-for-stop--license,Bates City Police Dept,34,34,0,0,0,0,0,2021,0
rates--population--2020-population-pct,Bates City Police Dept,100,98.48,0,0,0,1.52,0,2021,0
rates--contraband-hit-rate--citation-rate,Warson Woods Police Dept,64.47,65.71,25,,,,100,2021,0
search--probable-cause--drug-alcohol-odor,Bates City Police Dept,3,1,0,2,0,0,0,2021,0
search--probable-cause--incident-to-arrest,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--arrest-charge--property-offense,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates--totals--contraband,Bates City Police Dept,3,2,0,1,0,0,0,2021,0
stops--location-of-stop--county-road,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
stops--driver-gender--male,Bates City Police Dept,138,123,4,8,1,1,1,2021,0
rates--totals--arrests,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates--contraband-hit-rate--arrest-rate,Warson Woods Police Dept,0,0,0,,,,0,2021,0
stops--driver-gender--female,Bates City Police Dept,99,96,1,2,0,0,0,2021,0
search--contraband-found--currency,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
stops-all-stops,Bates City Police Dept,237,219,5,10,1,1,1,2021,0
disparity-index-by-race--disparity-index--resident-stops-acs,Foristell Police Dept,,0.947,,0,,0,0,2022,0
stops--driver-age--65-and-over,Callaway County Sheriff's Dept,84,79,4,0,0,0,1,2022,0
stops--stop-outcome--warning,Callaway County Sheriff's Dept,1832,1575,204,32,1,5,15,2022,0
stops--stop-outcome--citation,Callaway County Sheriff's Dept,175,138,35,2,0,0,0,2022,0
rates--stop-rate-residents--search-rate,Washington University Police Dept,6.25,12.5,0,,,0,0,2022,0
search--arrest-charge--off-against-person,Callaway County Sheriff's Dept,12,10,2,0,0,0,0,2022,0
rates--totals--resident-stops,Callaway County Sheriff's Dept,1260,1138,100,16,0,0,6,2022,0
search--arrest-charge--dwi-bac,Callaway County Sheriff's Dept,18,12,3,3,0,0,0,2022,0
stops-non-resident-stops,Callaway County Sheriff's Dept,828,654,139,19,1,6,9,2022,0
stops--reason-for-stop--equpiment,Callaway County Sheriff's Dept,466,407,49,8,0,1,1,2022,0
search--probable-cause--incident-to-arrest,Callaway County Sheriff's Dept,138,116,19,3,0,0,0,2022,0
stops--driver-gender--female,Callaway County Sheriff's Dept,760,673,70,12,0,1,4,2022,0
rates--totals--citations,Callaway County Sheriff's Dept,175,138,35,2,0,0,0,2022,0
stops--driver-age--17-and-under,Callaway County Sheriff's Dept,81,72,5,4,0,0,0,2022,0
search--probable-cause--drug-dog-alert,Callaway County Sheriff's Dept,14,12,1,1,0,0,0,2022,0
stops--driver-age--40-64,Callaway County Sheriff's Dept,650,580,53,8,0,3,6,2022,0
stops--stop-outcome--no-action,Callaway County Sheriff's Dept,71,62,6,2,0,1,0,2022,0
search--arrest-charge--property-offense,Callaway County Sheriff's Dept,10,7,2,1,0,0,0,2022,0
search--probable-cause--drug-alcohol-odor,Callaway County Sheriff's Dept,63,43,20,0,0,0,0,2022,0
search--search-duration--16-30-minutes,Callaway County Sheriff's Dept,21,14,7,0,0,0,0,2022,0
stops--reason-for-stop--moving,Callaway County Sheriff's Dept,679,574,79,17,1,3,5,2022,0
search--what-searched--driver,Callaway County Sheriff's Dept,96,84,11,1,0,0,0,2022,0
rates--totals--searches,Callaway County Sheriff's Dept,413,348,60,4,0,0,1,2022,0
rates--population--2021-acs-pop,Callaway County Sheriff's Dept,36172,33119,1513,674,229,191,1120,2022,0
stops--location-of-stop--other,Callaway County Sheriff's Dept,9,9,0,0,0,0,0,2022,0
stops--stop-outcome--arrests,Callaway County Sheriff's Dept,258,210,43,5,0,0,0,2022,0
search--arrest-charge--outstanding-warrant,Callaway County Sheriff's Dept,58,51,7,0,0,0,0,2022,0
rates--population--2020-decennial-pop-pct,Callaway County Sheriff's Dept,100,88.44,4.42,1.8,0.34,0.52,4.49,2022,0
disparity-index-by-race--population--2020-decennial-pop,Callaway County Sheriff's Dept,34738,30721,1534,627,117,181,1558,2022,0
stops-all-stops,Callaway County Sheriff's Dept,2088,1792,239,35,1,6,15,2022,0
search--probable-cause--reas-susp-weapon,Callaway County Sheriff's Dept,3,2,1,0,0,0,0,2022,0
rates--rates--contraband-hit-rate,City of Oakland Police Dept,0,0,0,,,,,2022,0
search--contraband-found--weapon,Callaway County Sheriff's Dept,7,6,1,0,0,0,0,2022,0
disparity-index-by-race--stops--all-stops,Callaway County Sheriff's Dept,2088,1792,239,35,1,6,15,2022,0
rates--totals--all-stops,Atchison County Sheriff's Dept,99,93,2,3,0,0,1,2022,0
rates--rates--arrest-rate,City of Oakland Police Dept,0.64,0.46,1.32,0,,0,,2022,0
search--probable-cause--inventory,Callaway County Sheriff's Dept,3,3,0,0,0,0,0,2022,0
search--probable-cause--plain-view-contra,Callaway County Sheriff's Dept,14,11,3,0,0,0,0,2022,0
disparity-index-by-race--disparity-index--all-stops-acs,Sunrise Beach Police Dept,,1.058,1.679,0.327,0.63,0.472,0.023,2022,0
search--probable-cause--consent,Calverton Park Police Dept,18,2,16,0,0,0,0,2022,0
rates--contraband-hit-rate--citation-rate,Missouri Southern State University,1.37,1.06,2.56,0,0,0,0,2022,0
search--search-duration--0-15-minutes,Callaway County Sheriff's Dept,392,334,53,4,0,0,1,2022,0
rates--rates--citation-rate,City of Oakland Police Dept,68.49,65.04,81.14,75,,100,,2022,0
rates--stop-rate-residents--citation-rate,Missouri Dept of Conservation Protection Branch,20.17,19.05,19.05,50,0,42.86,50,2022,0
rates--totals--arrests,Callaway County Sheriff's Dept,258,210,43,5,0,0,0,2022,0
rates--contraband-hit-rate--arrest-rate,Missouri Southern State University,0,0,0,0,0,0,0,2022,0
search--contraband-found--stolen-property,Callaway County Sheriff's Dept,6,2,3,1,0,0,0,2022,0
disparity-index-by-race--disparity-index--all-stops-dec,Foristell Police Dept,,0.939,7.233,0.902,3.821,0.921,0.159,2022,0
search--contraband-found--other,Callaway County Sheriff's Dept,0,0,0,0,0,0,0,2022,0
rates--population--2021-acs-pop-pct,Callaway County Sheriff's Dept,100,91.56,4.18,1.86,0.63,0.53,3.1,2022,0
stops-resident-stops,Callaway County Sheriff's Dept,1260,1138,100,16,0,0,6,2022,0
rates--population--2020-decennial-pop,Callaway County Sheriff's Dept,34738,30721,1534,627,117,181,1558,2022,0
stops--location-of-stop--interstate-hwy,Callaway County Sheriff's Dept,101,64,26,6,0,3,2,2022,0
disparity-index-by-race--resident-stops-acs--all-stops-dec,Clark Police Dept,,1.088,0,0,,0,0,2022,0
stops--location-of-stop--us-hwy,Callaway County Sheriff's Dept,534,447,69,10,0,2,6,2022,0
stops--stop-outcome--contraband,Callaway County Sheriff's Dept,115,92,21,2,0,0,0,2022,0
