row_key,agency,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
number-of-stops-by-race--driver-age--40-64,Howell County Sheriff's Dept,580,557,14,7,0,0,2,2024,0
search-statistics--what-searched--car-property,Kahoka Police Dept,4,4,0,0,0,0,0,2024,0
number-of-stops-by-race--stop-outcome--contraband,Blue Springs Police Dept,40,32,8,0,0,0,0,2024,0
search-statistics--what-searched--driver,Perry County Sheriff's Dept,27,10,10,7,0,0,0,2024,0
number-of-stops-by-race--resident-stops,Atchison County Sheriff's Dept,11,11,0,0,0,0,0,2024,0
number-of-stops-by-race--location-of-stop--interstate-hwy,Canadian Pacific Kansas City Ltd Police Dept,1,1,0,0,0,0,0,2024,0
number-of-stops-by-race--location-of-stop--us-hwy,Crane Police Dept,0,0,0,0,0,0,0,2024,0
search-statistics--contraband-found--stolen-property,Livingston County Sheriff's Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--driver-age--18-29,Hawk Point Police Dept,46,43,1,1,0,0,1,2024,0
search-statistics--probable-cause--plain-view-contra,Grundy County Sheriff's Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--citation-warning-violation--moving,Milan Police Dept,200,139,10,46,5,0,0,2024,0
rates-by-race--totals--citations,Festus Police Dept,1414,1325,67,11,0,5,6,2024,0
number-of-stops-by-race--driver-age--18-29,Alma Police Dept,1,1,0,0,0,0,0,2024,0
rates-by-race--totals--resident-stops,Warren County Sheriff's Dept,1319,1206,70,34,3,0,6,2024,0
number-of-stops-by-race--stop-outcome--no-action,Smithville Police Dept,72,61,10,0,0,0,1,2024,0
number-of-stops-by-race--driver-age--18-29,St Charles Community College Police Dept,1,0,1,0,0,0,0,2024,0
search-statistics--probable-cause--consent,Knox County Sheriff's Dept,4,4,0,0,0,0,0,2024,0
number-of-stops-by-race--driver-gender--female,Christian County Sheriff's Dept,2436,2327,62,19,3,11,14,2024,0
search-statistics--contraband-found--alcohol,Brookfield Police Dept,1,1,0,0,0,0,0,2024,0
search-statistics--contraband-found--alcohol,Martinsburg Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--all-stops,Miller County Sheriff's Dept,1638,1497,79,34,2,4,22,2024,0
number-of-stops-by-race--reason-for-stop--license,Schuyler County Sheriff's Dept,41,39,1,1,0,0,0,2024,0
number-of-stops-by-race--officer-assignment--special-assignment,Bethany Police Dept,0,0,0,0,0,0,0,2024,0
rates-by-race--totals--searches,Blue Springs Police Dept,201,138,57,2,0,4,0,2024,0
number-of-stops-by-race--reason-for-stop--det-crime-bulletin,Louisiana Police Dept,2,1,1,0,0,0,0,2024,0
search-statistics--search-duration--31-minutes,Berkeley Police Dept,1,0,1,0,0,0,0,2024,0
search-statistics--search-duration--0-15-minutes,Blue Springs Police Dept,179,122,51,2,0,4,0,2024,0
number-of-stops-by-race--officer-assignment--dedicated-traffic,Gerald Police Dept,51,51,0,0,0,0,0,2024,0
number-of-stops-by-race--stop-outcome--contraband,Tipton Police Dept,8,8,0,0,0,0,0,2024,0
rates-by-race--totals--arrests,Stoddard County Sheriff's Dept,61,56,5,0,0,0,0,2024,0
rates-by-race--rates--contraband-hit-rate,Parkville Police Dept,14.52,22.73,14.81,0,,,,2024,0
number-of-stops-by-race--driver-age--30-39,Doolittle Police Dept,118,97,9,6,1,1,4,2024,0
search-statistics--probable-cause--inventory,Bismarck Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--reason-for-stop--license,Clay County Sheriff's Dept,5514,3913,1128,347,9,41,76,2024,0
rates-by-race--totals--contraband,Howard County Sheriff's Dept,9,5,4,0,0,0,0,2024,0
number-of-stops-by-race--stop-outcome--contraband,Chillicothe Police Dept,66,61,3,1,0,0,1,2024,0
number-of-stops-by-race--driver-age--30-39,Benton Police Dept,17,14,2,1,0,0,0,2024,0
number-of-stops-by-race--arrest-violation--dwi-bac,St Louis County Police Dept,431,273,145,8,1,3,1,2024,0
